record_id,molecule_name,cas_rn,cas_status,pubchem_cid,molecular_formula,inchikey,canonical_smiles,partition,formula_group,component_scope,elemental_scope,mixture_flag,oxygenate_flag,aromaticity_class,structure_class,density_screening_flag_ge_0_90_g_cm3,X01,X02,X03,X04,X05,X06,X07,Y01,Y02,Y03,Y04,Y05,Y06,Y07,reference_map
HC-0279,"1,3-Dipentylcyclopentane",,not available or not unambiguously resolved,141367751,C15H30,XFTLHJZZZATUQT-UHFFFAOYSA-N,CCCCCC1CCC(CCCCC)C1,development,C15H30,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,monocyclic alicyclic,False,210.405,2.0,0.0,1.0,2.0,1.09861228866811,8.18685121107266,43.423,34.45354512,0.79344,-7.68,280.26,119.72,2.6824,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0280,"1,4-Dimethylcyclooctane",33657-56-6,reported,518721,C10H20,GUOSBMCHCJXBMH-UHFFFAOYSA-N,CC1CCCCC(C)CC1,development,C10H20,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,monocyclic alicyclic,False,140.27,2.0,0.0,1.0,2.0,1.09861228866811,4.0,43.423,33.442657679999996,0.77016,-74.59,178.67,50.33,0.9894,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0281,"1,6-Dimethyl-1,5-cyclooctadiene",,not available or not unambiguously resolved,77370,C10H16,UKNFYLAGXMXTKA-UHFFFAOYSA-N,CC1=CCCC=C(C)CC1,development,C10H16,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,monocyclic alicyclic,False,136.238,1.6,0.0,1.0,2.0,1.09861228866811,3.6001058650706,42.1,35.203178,0.83618,-39.55,196.29,62.37,1.1629,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0282,Cyclononane,293-55-0,reported,136143,C9H18,GPTJTTCOVDDHER-UHFFFAOYSA-N,C1CCCCCCCC1,development,C9H18,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,monocyclic alicyclic,False,126.243,2.0,0.0,1.0,0.0,2.94443897916644,4.83950617283951,43.423,33.11915633,0.76271,-80.9,169.4,44.0,0.9103,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0283,Humulene,6753-98-6,reported,5281520,C15H24,FAMPSKZZVDUYOS-HRGUGZIWSA-N,CC1=CCCC(C)=CCC(C)(C)C=CC1,development,C15H24,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,monocyclic alicyclic,False,204.357,1.6,0.0,1.0,3.0,1.09861228866811,5.34400800848059,42.1,36.396713000000005,0.86453,26.66,318.23,145.65,4.0745,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0284,"1,2-Dihydronaphthalene",,not available or not unambiguously resolved,9938,C10H10,KEIFWROAQVVDBN-UHFFFAOYSA-N,C1=Cc2ccccc2CC1,development,C10H10,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,polycyclic aromatic,True,130.19,1.0,0.6,2.0,2.0,0.693147180559945,2.29573388203018,39.961,38.787345429999995,0.97063,-12.33,201.75,66.1,1.2237,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0285,2-Phenyldodecane,2719-61-1,reported,17628,C18H30,VRPRIAVYSREHAN-UHFFFAOYSA-N,CCCCCCCCCCC(C)c1ccccc1,development,C18H30,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,monocyclic aromatic,False,246.438,1.66666666666667,0.333333333333333,1.0,2.0,1.09861228866811,10.1712279634139,42.326,36.44437904,0.86104,30.89,364.53,177.27,7.0525,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0286,(3-cyclopentylcyclopentyl)methylcyclohexane,,not available or not unambiguously resolved,147286883,C17H30,AKDLLLIPMZDXSD-UHFFFAOYSA-N,C1CCC(CC2CCC(C3CCCC3)C2)CC1,development,C17H30,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,polycyclic alicyclic,False,234.427,1.76470588235294,0.0,3.0,4.0,1.6094379124341,5.76,42.654,35.81400456000001,0.83964,33.14,360.85,174.76,6.7402,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0287,"1,1':3',1''-Tercyclohexane",1706-50-9,reported,137167,C18H32,JBQRJHVXZMSLNH-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCCCC3)C2)CC1,development,C18H32,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,polycyclic alicyclic,False,248.454,1.77777777777778,0.0,3.0,4.0,2.19722457733622,6.43786982248521,42.698,35.86247718,0.83991,37.37,392.27,196.22,10.0212,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0288,"1,3-Dicyclopentylcyclopentane",6051-40-7,reported,138647,C15H26,VUIQTOLVCLYLAF-UHFFFAOYSA-N,C1CCC(C2CCC(C3CCCC3)C2)C1,development,C15H26,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,polycyclic alicyclic,False,206.373,1.73333333333333,0.0,3.0,4.0,2.19722457733622,4.47258979206049,42.55,35.698598999999994,0.83898,14.12,310.82,140.59,3.7472,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
