provenance_id,record_id,partition,molecule_name,inchikey,property_code,property_name,final_value,unit,value_origin_class,high_confidence_source_subset,reference_ids,primary_reference_id,source_category,publisher_or_host,doi,url,citation_or_web_title,value_basis,measurement_conditions_or_method_note,conditions_status,quality_grade,verification_note,provenance_reconstruction_basis
PV-00179,HC-0031,development,Octadecane,RZJRJXONCZWCBN-UHFFFAOYSA-N,Y04,Solid-liquid phase-transition temperature,27.85,degC,evaluated or compiled literature value,True,REF-0103,REF-0103,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C593453&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated fusion temperature: Average of 35 out of 37 values; Individual data points,NIST fusion/melting temperature,Record type: fusion_temperature; method: AVG; comment: Average of 35 out of 37 values; Individual data points,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00180,HC-0031,development,Octadecane,RZJRJXONCZWCBN-UHFFFAOYSA-N,Y05,Boiling point,316.15,degC,evaluated or compiled literature value,True,REF-0104,REF-0104,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C593453&Units=SI&Mask=6,"Weast and Grasselli, 1989 CRC Handbook of Data on Organic Compounds, 2nd Editon, Weast,R.C and Grasselli, J.G., ed(s)., CRC Press, Inc., Boca Raton, FL, 1989, 1. [all data]",NIST normal boiling point,Record type: normal_boiling_point; method: N/A; comment: BS,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00181,HC-0031,development,Octadecane,RZJRJXONCZWCBN-UHFFFAOYSA-N,Y06,Flash point,166.0,degC,source database value; measurement status not resolved,False,REF-0479,REF-0479,open-source research database,Energy Conversion Research Laboratory / GitHub,,https://raw.githubusercontent.com/ecrl/ecnet/refs/heads/master/databases/properties_master.csv,ECNet properties_master.csv — curated chemical-property table.,Curated source-table flash-point value,Open/closed-cup method and record-level measurement conditions were not retained.,not reported,not reassessed,,reference registry mapping only
PV-00182,HC-0031,development,Octadecane,RZJRJXONCZWCBN-UHFFFAOYSA-N,Y07,Kinematic viscosity at 40 degC,4.1314,mm^2 s^-1,source database value; measurement status not resolved,False,REF-0479,REF-0479,open-source research database,Energy Conversion Research Laboratory / GitHub,,https://raw.githubusercontent.com/ecrl/ecnet/refs/heads/master/databases/properties_master.csv,ECNet properties_master.csv — curated chemical-property table.,Curated source-table value standardized to 40 degC,Reference temperature: 40 degC (313.15 K). Original record-level method was not retained.,partly reported,not reassessed,,reference registry mapping only
PV-00183,HC-0032,development,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,Y01,Mass-based net heat of combustion,44.422,MJ kg^-1,calculated from literature thermochemistry,True,REF-0105,REF-0105,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111659&Units=SI&Mask=6,"Good, 1972 Good, W.D., The enthalpies of combustion and formation of n-octane and 2,2,3,3-tetramethylbutane, J. Chem. Thermodyn., 1972, 4, 709-714. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",NIST thermochemical net-basis derivation (L1_direct_delta_f_liquid_with_H2O_g): direct NIST liquid formation enthalpy + CODATA CO2(g)/H2O(g),Reaction: C8H18(l) + 12.5 O2(g) -> 8 CO2(g) + 9 H2O(g); calculation: C8H18(l) + 12.5 O2(g) -> 8 CO2(g) + 9 H2O(g); ΔcH° = 8×(-393.51) + 9×(-241.826) - (-250.3) kJ/mol. O2(g) standard-state formation enthalpy is 0 by convention. Central displayed values only; uncertainty not propagated.; source records: https://webbook.nist.gov/cgi/cbook.cgi?Source=1972GOO709-714&Units=SI&Mask=6 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C111659&Units=SI&Mask=6 | https://webbook.nist.gov/cgi/cbook.cgi?Source=1984COX%2FWAG1B&Units=SI&Mask=1 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C124389&Units=SI&Mask=1 | https://webbook.nist.gov/cgi/cbook.cgi?Source=1984COX%2FWAG1B&Units=SI&Mask=7 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Units=SI&Mask=7,reported,B,Identity matched by the NIST-displayed full InChIKey. First usable NIST display row in the highest available tier; central values only and uncertainty not propagated.,identity + property + reference matched to the audited prior provenance table
PV-00184,HC-0032,development,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,Y02,Volumetric net heat of combustion,31.450775999999998,MJ L^-1,constructed from Y01 and Y03,False,REF-0105/REF-0091,REF-0105,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111659&Units=SI&Mask=6,"Good, 1972 Good, W.D., The enthalpies of combustion and formation of n-octane and 2,2,3,3-tetramethylbutane, J. Chem. Thermodyn., 1972, 4, 709-714. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",Y02 = Y01 x Y03 using the two release-table values,Not applicable; algebraically constructed endpoint.,not applicable,constructed,,reference registry mapping only
PV-00185,HC-0032,development,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,Y03,Density,0.708,g cm^-3,experimental measurement,True,REF-0091,REF-0091,NIST ThermoML experimental,journal publisher / NIST ThermoML,10.1021/je700445y,https://doi.org/10.1021/je700445y,"Jalili, A. H.[Amir Hossein]; Sina, M.[Mitra] (2008). Isobaric Vapor-Liquid Equilibria of Hexane + 1-Decene and Octane + 1-Decene Mixtures. J. Chem. Eng. Data 53, 398-402. https://doi.org/10.1021/je700445y",direct at 20 C (within 0.5 K),; T=293.15 K; p=101.325 kPa,reported,A,Pure-component experimental density selected by InChIKey; no formula-only identity match.,identity + property + reference matched to the audited prior provenance table
PV-00186,HC-0032,development,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,Y04,Solid-liquid phase-transition temperature,-56.85,degC,evaluated or compiled literature value,True,REF-0106,REF-0106,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111659&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated fusion temperature: Average of 39 out of 41 values; Individual data points,NIST fusion/melting temperature,Record type: fusion_temperature; method: AVG; comment: Average of 39 out of 41 values; Individual data points,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00187,HC-0032,development,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,Y05,Boiling point,125.55,degC,evaluated or compiled literature value,True,REF-0107,REF-0107,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111659&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated normal boiling point: Average of 75 out of 89 values; Individual data points,NIST normal boiling point,Record type: normal_boiling_point; method: AVG; comment: Average of 75 out of 89 values; Individual data points,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00188,HC-0032,development,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,Y06,Flash point,15.0,degC,source database value; measurement status not resolved,False,REF-0479,REF-0479,open-source research database,Energy Conversion Research Laboratory / GitHub,,https://raw.githubusercontent.com/ecrl/ecnet/refs/heads/master/databases/properties_master.csv,ECNet properties_master.csv — curated chemical-property table.,Curated source-table flash-point value,Open/closed-cup method and record-level measurement conditions were not retained.,not reported,not reassessed,,reference registry mapping only
