record_id,partition,Y01,Y03,Y02_physical_baseline,Y02_independent_response,independent_minus_baseline
HC-0126,development,44.057,0.7405,32.6242085,32.26,-0.3642085000000037
HC-0127,development,44.0,0.741,32.604,,
HC-0128,development,44.019,0.74212,32.667380279999996,32.18,-0.48738027999999645
HC-0129,development,44.0,0.7383,32.4852,,
HC-0130,development,44.126,0.7153,31.5633278,31.83,0.2666721999999986
HC-0131,development,44.0,0.742,32.647999999999996,,
HC-0132,development,44.057,0.733,32.293781,,
HC-0133,development,44.552,0.70617,31.46128584,31.32,-0.14128583999999833
HC-0134,development,44.057,0.7354,32.399517800000005,32.59,0.19048219999999816
HC-0135,development,44.126,0.714,31.505963999999995,,
HC-0136,development,44.057,0.73174,32.238269179999996,,
HC-0137,development,43.848,0.7682,33.6840336,,
HC-0138,development,44.057,0.736,32.425952,,
HC-0139,development,42.1,0.81483,34.304343,,
HC-0140,development,43.423,0.7703,33.4487369,,
HC-0141,development,43.346,0.75358,32.66467868,34.7,2.0353213200000013
HC-0142,development,43.423,0.7908,34.3389084,34.7,0.36109160000000173
HC-0143,development,43.399,0.75358,32.70461842,34.75,2.0453815799999973
HC-0144,development,43.423,0.77,33.43571,,
HC-0145,development,43.309,0.75358,32.63679622,33.4,0.7632037799999978
HC-0146,development,43.423,0.7806,33.8959938,,
HC-0147,development,43.423,0.8039,34.9077497,34.72,-0.1877496999999977
HC-0148,development,43.423,0.8257,35.8543711,,
HC-0149,development,42.1,0.873,36.7533,,
HC-0150,development,43.423,0.8244,35.797921200000005,,
HC-0151,development,43.598,0.76271,33.25263058,34.6,1.3473694199999997
HC-0152,development,43.582,0.74217,32.34525294,32.69,0.344747059999996
HC-0153,development,43.423,0.79,34.304170000000006,,
HC-0154,development,42.326,0.80569,34.101634940000004,,
HC-0155,development,42.771,0.823,35.200533,,
HC-0156,development,42.1,0.774,32.5854,,
HC-0157,development,42.1,0.8717,36.698570000000004,,
HC-0158,development,42.1,0.8449,35.57029,,
HC-0159,development,43.423,0.80214,34.83132522,34.98,0.14867478000000034
HC-0160,development,43.793,0.81641,35.753043129999995,36.0,0.24695687000000532
HC-0161,development,43.781,0.80411,35.20473991,35.2,-0.004739909999997849
HC-0162,development,38.665,0.91202,35.2632533,39.75,4.486746699999998
HC-0163,development,40.372,0.91,36.73852,,
HC-0164,development,41.363,0.87538,36.20834294,35.79,-0.4183429400000023
HC-0165,development,42.326,0.85489,36.18407414,36.4,0.2159258599999987
HC-0166,development,43.952682869555,0.757234941098022,33.28250722382752,,
HC-0167,development,41.757,0.8586,35.8525602,36.04,0.18743979999999993
HC-0168,development,42.002,0.85627,35.96505254,36.17,0.20494745999999964
HC-0169,development,39.961,0.90626,36.21505586,,
HC-0170,development,41.408,0.86223,35.70321984,,
HC-0171,development,42.385,0.855,36.239174999999996,36.46,0.22082500000000493
HC-0172,development,42.26,0.8568,36.208368,36.42,0.2116320000000016
HC-0173,development,44.0001791277757,0.750278391091485,33.01238360372469,,
HC-0175,development,43.9124138267694,0.763234807087266,33.51548269581053,,
HC-0176,development,40.696,0.9302,37.8554192,43.28,5.424580800000001
HC-0177,development,44.0001791277757,0.750278391091485,33.01238360372469,,
HC-0178,development,39.961,1.003,40.08088299999999,,
HC-0180,development,37.811,0.99035,37.44612385,40.18,2.7338761500000004
HC-0181,development,38.249,0.97646,37.348618540000004,39.76,2.411381459999994
HC-0182,development,39.442,1.0058,39.6707636,45.8,6.129236399999996
HC-0183,development,43.952682869555,0.757234941098022,33.28250722382752,,
HC-0184,development,43.9124138267694,0.763234807087266,33.51548269581053,,
HC-0185,development,44.0001791277757,0.750278391091485,33.01238360372469,,
HC-0186,development,43.4233977329436,0.770164168451106,33.44314500631415,,
HC-0187,development,43.4233977329436,0.770164168451106,33.44314500631415,,
HC-0188,development,43.4233977329436,0.770164168451106,33.44314500631415,,
HC-0189,development,43.4233977329436,0.770164168451106,33.44314500631415,,
HC-0190,development,43.4233977329436,0.770164168451106,33.44314500631415,,
HC-0191,development,43.423,0.738,32.046174,,
HC-0192,development,42.1,0.86693,36.497753,,
HC-0193,development,43.4233977329436,0.776376169870182,33.712891214652295,,
HC-0194,development,42.795,0.80512,34.4551104,38.0,3.5448895999999976
HC-0195,development,42.76,0.80133,34.2648708,37.17,2.9051292000000046
HC-0196,development,43.912,0.755,33.15356,,
HC-0197,development,44.381,0.7204,31.972072400000002,,
HC-0198,development,43.953,0.746,32.788938,,
HC-0199,development,44.469,0.6949,30.9015081,,
HC-0200,development,43.953,0.747,32.832891000000004,,
HC-0201,development,43.822,0.775,33.962050000000005,34.02,0.05794999999999817
HC-0202,development,43.4233977329436,0.776376169870182,33.712891214652295,,
HC-0203,development,43.953,0.75723,33.28253019,34.04,0.7574698099999964
HC-0204,development,43.742,0.78964,34.54043288,35.02,0.4795671200000058
HC-0205,development,43.423,0.758,32.914634,,
HC-0206,development,42.605,0.79104,33.70225919999999,,
HC-0207,development,41.948,0.818,34.313463999999996,,
HC-0208,development,43.423,0.75358,32.72270434,34.0,1.27729566
HC-0209,development,43.949,0.77016,33.84776184,35.2,1.352238160000006
HC-0210,development,43.423,0.77016,33.442657679999996,35.5,2.0573423200000036
HC-0211,development,42.1,0.86453,36.396713000000005,33.6,-2.796713000000004
HC-0212,development,40.729,0.91202,37.14566258,38.86,1.7143374199999997
HC-0213,development,41.599,0.87236,36.28930364,35.94,-0.34930364000000225
HC-0214,development,42.771,0.7668,32.7968028,,
HC-0215,development,42.1,0.83618,35.203178,,
HC-0216,development,42.741,0.79104,33.80984064,38.5,4.690159360000003
HC-0217,development,42.872,0.8083,34.653437600000004,38.41,3.756562399999993
HC-0218,development,44.126,0.73241,32.31832366,32.9,0.5816763400000013
HC-0219,development,44.0,0.75028,33.012319999999995,33.15,0.13768000000000313
HC-0220,development,43.953,0.75723,33.28253019,33.1,-0.18253019000000137
HC-0221,development,44.057,0.74212,32.695580840000005,32.22,-0.47558084000000633
HC-0222,development,43.912,0.76323,33.51495576,33.32,-0.19495575999999915
HC-0223,development,43.759,0.78697,34.437020229999995,34.51,0.07297977000000344
HC-0224,development,43.848,0.77306,33.897134879999996,33.81,-0.08713487999999359
HC-0225,development,44.126,0.7263,32.048713799999994,,
HC-0226,development,44.057,0.7389,32.5537173,,
HC-0227,development,43.953,0.7513,33.0218889,,
HC-0228,development,44.126,0.7197,31.7574822,,
HC-0229,development,43.953,0.75723,33.28253019,33.1,-0.18253019000000137
HC-0230,development,43.953,0.75723,33.28253019,33.12,-0.16253019000000535
HC-0231,development,43.912,0.757,33.241384,,
HC-0232,development,43.798,0.7807,34.1930986,,
HC-0233,development,43.778,0.78402,34.32282756,34.53,0.2071724400000008
HC-0234,development,43.423,0.77016,33.442657679999996,35.81,2.367342320000006
HC-0235,development,43.423,0.82689,35.906044470000005,,
HC-0236,development,43.423,0.76271,33.11915633,34.3,1.1808436699999945
HC-0237,development,43.423,0.78163,33.940719490000006,34.6,0.659280509999995
HC-0238,development,43.423,0.77016,33.442657679999996,35.4,1.9573423200000022
HC-0239,development,42.881,0.8083,34.6607123,37.4,2.7392876999999984
HC-0240,development,41.173,0.86444,35.591588120000004,,
HC-0241,development,40.957,0.91202,37.353603140000004,40.4,3.0463968599999944
HC-0242,development,41.889,0.8678,36.351274200000006,36.11,-0.24127420000000654
HC-0243,development,41.408,0.8444,34.9649152,,
HC-0244,development,42.1,0.86453,36.396713000000005,33.9,-2.496713000000007
HC-0245,development,43.4233977329436,0.770164168451106,33.44314500631415,,
HC-0246,development,42.326,0.93711,39.66411786,40.2,0.5358821400000053
HC-0247,development,43.4233977329436,0.770164168451106,33.44314500631415,,
HC-0248,development,42.1,0.85,35.785000000000004,,
HC-0249,development,42.1,0.9356,39.38876,39.39,0.0012400000000027944
HC-0250,development,42.412,0.83812,35.546345439999996,40.1,4.553654560000005
HC-0251,development,43.4233977329436,0.776376169870182,33.712891214652295,,
HC-0252,development,42.559,0.83251,35.430793089999995,40.0,4.5692069100000055
HC-0253,development,43.295,0.83251,36.04352045,37.62,1.5764795499999948
HC-0254,development,43.4233977329436,0.770164168451106,33.44314500631415,,
HC-0255,development,43.423,0.79003,34.30547269,33.5,-0.805472690000002
HC-0256,development,42.771,0.80133,34.27368543,,
HC-0257,development,42.486,0.78381,33.300951659999996,,
HC-0258,development,42.326,0.7743,32.7730218,,
HC-0259,development,42.698,0.79674,34.01920452,,
HC-0260,development,42.605,0.79104,33.70225919999999,,
HC-0261,development,42.099854666099,0.836175044497637,35.20284784876938,,
HC-0262,development,42.605,0.79104,33.70225919999999,38.76,5.057740800000005
HC-0263,development,42.605,0.79104,33.70225919999999,38.9,5.197740800000005
HC-0264,development,41.508,0.83251,34.55582508,37.6,3.0441749200000032
HC-0265,development,42.605,0.79104,33.70225919999999,37.3,3.597740800000004
HC-0266,development,44.0,0.75028,33.012319999999995,32.9,-0.11231999999999687
HC-0267,development,44.0,0.75028,33.012319999999995,33.0,-0.012319999999995446
HC-0268,development,43.798,0.78076,34.195726480000005,34.49,0.2942735199999973
HC-0269,development,43.759,0.78697,34.437020229999995,34.78,0.34297977000000657
HC-0270,development,43.953,0.75723,33.28253019,35.43,2.147469809999997
HC-0271,development,44.0,0.75028,33.012319999999995,33.02,0.007680000000007681
HC-0272,development,43.953,0.75723,33.28253019,32.2,-1.08253019
HC-0273,development,44.057,0.74212,32.695580840000005,33.5,0.8044191599999948
HC-0274,development,44.0,0.75028,33.012319999999995,33.0,-0.012319999999995446
HC-0275,development,43.778,0.78402,34.32282756,35.14,0.8171724400000002
HC-0276,development,43.423,0.79003,34.30547269,37.8,3.494527309999995
HC-0277,development,43.423,0.79003,34.30547269,34.96,0.6545273099999989
HC-0278,development,43.423,0.78163,33.940719490000006,34.9,0.9592805099999921
HC-0279,development,43.423,0.79344,34.45354512,35.8,1.346454879999996
HC-0280,development,43.423,0.77016,33.442657679999996,36.22,2.7773423200000025
HC-0281,development,42.1,0.83618,35.203178,34.6,-0.6031779999999998
HC-0282,development,43.423,0.76271,33.11915633,,
HC-0283,development,42.1,0.86453,36.396713000000005,,
HC-0284,development,39.961,0.97063,38.787345429999995,,
HC-0285,development,42.326,0.86104,36.44437904,,
HC-0286,development,42.654,0.83964,35.81400456000001,39.4,3.5859954399999907
HC-0287,development,42.698,0.83991,35.86247718,37.6,1.7375228200000024
HC-0288,development,42.55,0.83898,35.698598999999994,41.16,5.461401000000002
HC-0289,development,42.486,0.83858,35.62790988,41.98,6.35209012
HC-0290,development,42.099854666099,0.836175044497637,35.20284784876938,,
HC-0291,development,42.326,0.83758,35.45141108,40.16,4.708588919999997
HC-0292,development,42.412,0.83812,35.546345439999996,39.22,3.673654560000003
HC-0293,development,43.4233977329436,0.781629904806129,33.941026236359384,,
HC-0294,development,43.4233977329436,0.781629904806129,33.941026236359384,,
HC-0295,development,42.223,0.83694,35.33811762,40.18,4.841882380000001
HC-0296,development,42.223,0.83694,35.33811762,40.18,4.841882380000001
HC-0297,development,41.173,0.87913,36.19641949,45.29,9.093580510000002
HC-0298,development,39.961,0.899,35.924939,37.1,1.1750609999999995
HC-0299,development,43.4233977329436,0.781629904806129,33.941026236359384,,
HC-0300,development,39.961,0.99035,39.57537635,,
HC-0301,development,39.961,0.99035,39.57537635,,
HC-0302,development,39.961,0.99035,39.57537635,,
HC-0303,development,41.5989315273628,0.872360833235259,36.2892785689067,,
HC-0304,development,39.961,0.99035,39.57537635,,
HC-0305,development,39.961,0.99035,39.57537635,,
HC-0306,development,39.961,0.99035,39.57537635,,
HC-0307,development,41.5989315273628,0.872360833235259,36.2892785689067,,
HC-0308,development,41.5989315273628,0.872360833235259,36.2892785689067,,
HC-0309,development,41.5989315273628,0.872360833235259,36.2892785689067,,
HC-0310,development,41.5989315273628,0.872360833235259,36.2892785689067,,
HC-0001,internal_heldout_test,44.21,0.71529,31.6229709,31.4,-0.22297089999999997
HC-0002,internal_heldout_test,44.27,0.7113,31.489251000000003,,
HC-0004,internal_heldout_test,42.174,0.88046,37.13252004,37.5,0.36747995999999716
HC-0007,internal_heldout_test,44.433,0.6945,30.8587185,30.85,-0.008718499999996965
HC-0022,internal_heldout_test,44.237,0.7301,32.2974337,32.46,0.16256630000000172
HC-0048,internal_heldout_test,43.784,0.81,35.46504,35.21,-0.25504000000000104
HC-0053,internal_heldout_test,41.051,0.8944,36.7160144,36.88,0.16398560000000373
HC-0103,internal_heldout_test,42.099854666099,0.836175044497637,35.20284784876938,,
HC-0174,internal_heldout_test,41.827,0.90157,37.70996839,37.9,0.19003160999999835
HC-0179,internal_heldout_test,38.393,0.96498,37.048477139999996,39.86,2.8115228600000037
